SG Gross Revenue,SG Downloads,Inclusion Reason,Key Details,Game Title,English Display Title,Original Title,Detected Language,Machine English Title,Manual English Title,Translation Source,Translation Confidence,Translation Review Status,Translation Note,Platform,Publisher,Developer,Release Date,Genre,Top 3 Markets,SG App Store Ranks,unified_app_id,run_timestamp_utc,report_start_date,report_end_date,ranking_date,sensor_tower_effective_end_date,meeting_date,report_classification,steamdb_peak,steamdb_reviews,steam_url,release_date_source_url,source_urls,Continuity Note,Continuity Brief Href,Continuity,registry_game_id
18661.81,4790,Included as a new SG commercial signal because prior revenue was $0 and current SG revenue crossed the report threshold.,"Surviving for 33 Days is a post-apocalyptic idle card RPG in which players assemble heroes, arrange a squad, and hold back zombie hordes. Its differentiator is a lightweight survival loop that combines idle progression with strategic line-up building and high-volume combat.",Surviving for 33 days,Surviving for 33 days,生存33天,,,,,,,,"iOS, Android",37 Interactive Entertainment,Dawnlight Studio,2026-01-01,Post-apocalyptic idle card RPG,"Top Mkts: MY ($52,193 / 38,457 DL) || SG ($18,662 / 4,790 DL)",SG App Store Ranks: iOS (DL #53 / Rev #34) || Android (DL #30 / Rev #48),694e50c60a1d560a893602e8,,2026-08-04,2026-08-17,,,2026-08-18,mobile_only,,,,https://survive33days.37.com.cn/article,https://survive33days.37.com.cn/article,,,,
16644.97,3253,Included as a new SG commercial signal because prior revenue was $0 and current SG revenue crossed the report threshold.,"Fierce Ghosts: Three Kingdoms turns the Three Kingdoms setting into a supernatural card RPG where players command ghost versions of historic generals. The core appeal is squad collection and tactical team-building across a three-sided conflict between humans, spirits, and ghosts.",Fierce Ghosts: Three Kingdoms,Fierce Ghosts: Three Kingdoms,猛鬼三國,,,,,,,,Android,Sumlahung,Sumlahung,2026-07-22,Three Kingdoms card RPG,"Top Mkts: MY ($27,668 / 11,643 DL) || SG ($16,645 / 3,253 DL)",SG App Store Ranks: iOS (DL #164 / Rev #59) || Android (DL #82 / Rev #76),6a5c61ace8e4606a8d3b26a9,,2026-08-04,2026-08-17,,,2026-08-18,mobile_only,,,,https://play.google.com/store/apps/details?id=com.kfive.gptw,https://play.google.com/store/apps/details?id=com.kfive.gptw,,,,
9417.16,4331,Included as a new SG commercial signal because prior revenue was $0 and current SG revenue crossed the report threshold.,"JoJo's Bizarre Adventure: GS is an officially licensed mobile RPG based on the JoJo anime, with characters drawn from across the franchise. It combines team formation and strategic battles with 3D and Live2D presentation designed to recreate iconic anime scenes.",JoJo's Bizarre Adventure: GS,JoJo's Bizarre Adventure: GS,JoJo's Bizarre Adventure: GS,,,,,,,,"iOS, Android",Hoolai Game Limited,Hoolai Game Limited,2026-08-13,Licensed 3D mobile RPG,"Top Mkts: TH ($41,454 / 71,201 DL) || SG ($9,417 / 4,331 DL) || ID ($6,045 / 43,528 DL)",SG App Store Ranks: iOS (DL #8 / Rev #42) || Android (DL #7 / Rev #41),6a054afa5481acd9e913d892,,2026-08-04,2026-08-17,,,2026-08-18,mobile_only,,,,https://play.google.com/store/apps/details?id=com.wanda.jojo.gp.global,https://play.google.com/store/apps/details?id=com.wanda.jojo.gp.global | https://jojo-news.com/2026/08/13/jojos-bizarre-adventure-golden-spirit-mobile-game-officially-launched-on-august-13/,,,,
3743.50,985,Included as a new SG commercial signal because prior revenue was $0 and current SG revenue crossed the report threshold.,"Undead Tribe: Battle is a short-session tower-defense RPG where players summon and merge heroes to protect a tribe from waves of undead. Its USP is a quick three-minute match loop that mixes random hero merges, faction combinations, and defensive strategy.",Undead Tribe: Battle,Undead Tribe: Battle,亡靈別太狂：部落大作戰,,,,,,,,iOS,Emin Lomturide,Emin Lomturide,2026-08-03,Tower-defense RPG,"Top Mkts: SG ($3,744 / 985 DL) || MY ($3,633 / 3,622 DL)",SG App Store Ranks: iOS (DL #N/A / Rev #N/A) || Android (DL #276 / Rev #281),6a68be982148e385d37ce73e,,2026-08-04,2026-08-17,,,2026-08-18,mobile_only,,,,https://apps.apple.com/tw/app/%E4%BA%A1%E9%9D%88%E5%88%A5%E5%A4%AA%E7%8B%82-%E9%83%A8%E8%90%BD%E5%A4%A7%E4%BD%9C%E6%88%B0/id6762179843,https://apps.apple.com/tw/app/%E4%BA%A1%E9%9D%88%E5%88%A5%E5%A4%AA%E7%8B%82-%E9%83%A8%E8%90%BD%E5%A4%A7%E4%BD%9C%E6%88%B0/id6762179843,,,,
3520.91,393,Included as a new SG commercial signal because prior revenue was $0 and current SG revenue crossed the report threshold.,"EZ PZ: Byte Heroes is a pixel-art Three Kingdoms strategy card RPG built around a six-grid formation system and faction-based hero combinations. It blends tactical team positioning with idle progression and high-frequency loot drops, including shared equipment that can strengthen an entire squad.",EZ PZ: Byte Heroes,EZ PZ: Byte Heroes,EZ PZ: Byte Heroes,,,,,,,,Android,Shenzhen Qudong Digital Entertainment Co. Ltd.,Shenzhen Qudong Digital Entertainment Co. Ltd.,2026-06-15,Pixel-art strategy card RPG,"Top Mkts: VN ($7,988 / 6,851 DL) || ID ($3,546 / 4,676 DL) || SG ($3,521 / 393 DL)",SG App Store Ranks: iOS (DL #N/A / Rev #N/A) || Android (DL #N/A / Rev #65),6a4725bae5f3ec108cfdee5e,,2026-08-04,2026-08-17,,,2026-08-18,mobile_only,,,,https://play.google.com/store/apps/details?id=com.szqdgames.android.arzhg,https://play.google.com/store/apps/details?id=com.szqdgames.android.arzhg,,,,
3087.70,1668,Included as a new SG commercial signal because prior revenue was $0 and current SG revenue crossed the report threshold.,"MAJO - Apocalypse Tactics RPG is a dark tactical RPG in which the player commands witches to investigate and defeat reality-distorting anomalies. Its combat differentiates itself through timed dodges, blocks, knockdowns, burst attacks, and four squad roles that create team synergies.",MAJO - Apocalypse Tactics RPG,MAJO - Apocalypse Tactics RPG,MAJO - Apocalypse Tactics RPG,,,,,,,,"iOS, Android",DarkWind Ltd.,DarkWind Ltd.,2026-08-11,Tactical squad RPG,"Top Mkts: SG ($3,088 / 1,668 DL) || TH ($1,444 / 2,702 DL) || MY ($981 / 528 DL)",SG App Store Ranks: iOS (DL #43 / Rev #139) || Android (DL #26 / Rev #226),6a2a01d709b82ee0e573fefb,,2026-08-04,2026-08-17,,,2026-08-18,mobile_only,,,,https://majo-official.com/en/,https://majo-official.com/en/ | https://play.google.com/store/apps/details?id=com.darkwind.majo,,,,
,,"Fields of Mistria is a pixel-art farming and life-simulation RPG where players rebuild a village, farm, fish, mine, craft, and explore magical ruins. Its USP is the blend of cosy town life, romance, seasonal activities, and light adventure in a nostalgic farm-sim format.","Fields of Mistria is a pixel-art farming and life-simulation RPG where players rebuild a village, farm, fish, mine, craft, and explore magical ruins. Its USP is the blend of cosy town life, romance, seasonal activities, and light adventure in a nostalgic farm-sim format.",Fields of Mistria,Fields of Mistria,Fields of Mistria,,,,,,,,PC,NPC Studio,NPC Studio,2026-08-05,Farming and life-simulation RPG,,,2142790,,,,,,2026-08-18,pc_only,39233,32966,https://store.steampowered.com/app/2142790/,https://store.steampowered.com/app/2142790/,https://store.steampowered.com/app/2142790/,,,,
,,"Survival Log is a zombie-apocalypse survival simulation where players scavenge before an outbreak, then manage and fortify a home base. It combines timed preparation, resource management, base-building, exploration, and repeat-run progression where failed attempts create experience for the next run.","Survival Log is a zombie-apocalypse survival simulation where players scavenge before an outbreak, then manage and fortify a home base. It combines timed preparation, resource management, base-building, exploration, and repeat-run progression where failed attempts create experience for the next run.",Survival Log,Survival Log,Survival Log,,,,,,,,PC,Lilith Games,Midnight Workshop,2026-08-12,Zombie survival and resource-management simulation,,,4164790,,,,,,2026-08-18,pc_only,13023,1472,https://store.steampowered.com/app/4164790/,https://store.steampowered.com/app/4164790/,https://store.steampowered.com/app/4164790/,,,,
,,"Sandustry is a factory automation game set on fully destructible worlds where every pixel can be mined, processed, or used in production chains. Its USP is a physics-led resource system: materials such as sand, water, ice, and steam react to one another as players build an expanding industrial operation.","Sandustry is a factory automation game set on fully destructible worlds where every pixel can be mined, processed, or used in production chains. Its USP is a physics-led resource system: materials such as sand, water, ice, and steam react to one another as players build an expanding industrial operation.",Sandustry,Sandustry,Sandustry,,,,,,,,PC,Hooded Horse,Lantto Games,2026-08-13,Factory automation simulation,,,2764460,,,,,,2026-08-18,pc_only,12551,3049,https://store.steampowered.com/app/2764460/,https://store.steampowered.com/app/2764460/,https://store.steampowered.com/app/2764460/,,,,
,,"Path of Idle: Old Gods Rising is a Lovecraftian idle RPG where players build a cult town, equip a party, and send Godsworn characters into automated battles. It is designed around low-input progression, loot and gear crafting, six classes, town building, and strategy around party composition.","Path of Idle: Old Gods Rising is a Lovecraftian idle RPG where players build a cult town, equip a party, and send Godsworn characters into automated battles. It is designed around low-input progression, loot and gear crafting, six classes, town building, and strategy around party composition.",Path of Idle: Old Gods Rising,Path of Idle: Old Gods Rising,Path of Idle: Old Gods Rising,,,,,,,,PC,Small Mill,Small Mill,2026-08-12,Lovecraftian idle RPG,,,4243990,,,,,,2026-08-18,pc_only,10366,904,https://store.steampowered.com/app/4243990/,https://store.steampowered.com/app/4243990/,https://store.steampowered.com/app/4243990/,,,,
