meeting_date,report_start_date,report_end_date,context_type,radar_section,matched_report_game,match_method,event_date,hot_score,hot_reasons,source,source_tier,source_tier_label,region,title,title_en,url,published_at,first_seen_at,last_seen_at,radar_generated_at,inclusion_reason,story_key,include_in_final_report,final_report_section,editor_decision,editor_note,key_details,why_it_matters
2026-08-04,2026-07-21,2026-08-03,industry_trend,industry_reports,,industry_story_theme,2026-07-31,143,game_lifecycle; business; platform_store; market_keyword,GamesRadar+,major_gaming_media,Major gaming media,GLOBAL,"""I wish physical media was here to stay"": As Sony reports 82% digital PlayStation sales, ex-Blizzard boss says ""the purchasing trend from consumers is clear""",,https://www.gamesradar.com/games/i-wish-physical-media-was-here-to-stay-as-sony-reports-82-percent-digital-playstation-sales-ex-blizzard-boss-says-the-purchasing-trend-from-consumers-is-clear/,2026-07-31T21:21:54+00:00,2026-08-03T05:48:34.158886+00:00,2026-08-03T05:48:34.158886+00:00,2026-08-05T04:08:31.878853+00:00,Industry trend review candidate: high-score radar item; repeated story themes from earlier briefs are suppressed.,physical_media_shift,,,,,,
2026-08-04,2026-07-21,2026-08-03,industry_trend,industry_reports,,industry_story_theme,2026-08-03,119,game_lifecycle; business; market_keyword,GamesIndustry.biz,business_industry_media,Business / industry media,GLOBAL,"Last Sentinel developer Lightspeed LA conducts layoffs, 80 roles reportedly cut",,https://www.gamesindustry.biz/last-sentinel-developer-lightspeed-la-conducts-layoffs-80-roles-reportedly-cut,2026-08-03T09:57:28+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Industry trend review candidate: high-score radar item; repeated story themes from earlier briefs are suppressed.,xbox_restructure,,,,,,
2026-08-04,2026-07-21,2026-08-03,industry_trend,industry_reports,,industry_story_theme,2026-07-21,79,game_lifecycle; market_keyword,GamesIndustry.biz,business_industry_media,Business / industry media,GLOBAL,"Unity 7 to launch in Q1 2027; new engine is a ""direct continuation"" of Unity 6",,https://www.gamesindustry.biz/unity-7-to-launch-in-q1-2027-new-engine-is-a-direct-continuation-of-unity-6,2026-07-21T07:44:28+00:00,2026-08-03T05:48:34.158886+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Industry trend review candidate: high-score radar item; repeated story themes from earlier briefs are suppressed.,unity launch 2027 engine direct continuation unity,yes,Industry Trends,include,Unity confirmed Unity 7 for Q1 2027 as the continuation of Unity 6. This is a development-platform watch relevant to studios serving SEA6.,Unity confirmed that Unity 7 will launch in Q1 2027 as the direct continuation of Unity 6.,A development-platform watch relevant to studios serving SEA6.
2026-08-04,2026-07-21,2026-08-03,industry_trend,industry_reports,,industry_story_theme,2026-07-30,74,business; market_keyword,PocketGamer.biz,business_industry_media,Business / industry media,GLOBAL,Mobile IAP revenue dipped 2% while ad spend climbed in H1 2026,,https://www.pocketgamer.biz/mobile-gaming-iap-dipped-2-as-ad-spend-climbed-in-h1-2026/,2026-07-30T14:28:00+00:00,2026-08-03T05:48:34.158886+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Industry trend review candidate: high-score radar item; repeated story themes from earlier briefs are suppressed.,mobile_iap_ads,yes,Industry Trends,include,Global mobile IAP revenue fell 2% in H1 2026 while advertising spend rose. This is directly relevant to SEA6 mobile monetisation and acquisition economics.,Global mobile in-app-purchase revenue fell 2% in the first half of 2026 while advertising spend increased.,Relevant to SEA6 mobile monetisation and user-acquisition economics.
2026-08-04,2026-07-21,2026-08-03,industry_trend,industry_reports,,industry_story_theme,2026-07-31,74,business; market_keyword,PocketGamer.biz,business_industry_media,Business / industry media,GLOBAL,EA expects acquisition by PIF-led consortium to close on August 4th,,https://www.pocketgamer.biz/ea-expects-acquisition-by-pif-led-consortium-to-close-on-august-4th/,2026-07-31T14:17:00+00:00,2026-08-03T05:48:34.158886+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Industry trend review candidate: high-score radar item; repeated story themes from earlier briefs are suppressed.,publisher_mna,,,,,,
2026-08-04,2026-07-21,2026-08-03,industry_trend,industry_reports,,industry_story_theme,2026-08-03,74,business; market_keyword,GamesIndustry.biz,business_industry_media,Business / industry media,GLOBAL,Razer acquires StreamElements assets,,https://www.gamesindustry.biz/razer-acquires-streamelements-assets,2026-08-03T15:56:47+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Industry trend review candidate: high-score radar item; repeated story themes from earlier briefs are suppressed.,razer acquires streamelements assets,,,,,,
2026-08-04,2026-07-21,2026-08-03,industry_trend,industry_reports,,industry_story_theme,2026-08-03,74,business; market_keyword,PocketGamer.biz,business_industry_media,Business / industry media,GLOBAL,"Roblox revenue rises 36% Y/Y, but young North Americans see falling per-hour monetisation",,https://www.pocketgamer.biz/roblox-revenue-rises-36-yy-but-young-north-americans-see-falling-per-hour-monetisation/,2026-08-03T15:21:00+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Industry trend review candidate: high-score radar item; repeated story themes from earlier briefs are suppressed.,publisher_financial_results,,,,,,
2026-08-04,2026-07-21,2026-08-03,industry_trend,industry_reports,,industry_story_theme,2026-08-03,74,business; market_keyword,PocketGamer.biz,business_industry_media,Business / industry media,GLOBAL,Razer acquires StreamElements assets to expand creator ecosystem,,https://www.pocketgamer.biz/razer-acquires-streamelements-assets-to-expand-creator-ecosystem/,2026-08-03T14:29:00+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Industry trend review candidate: high-score radar item; repeated story themes from earlier briefs are suppressed.,razer acquires streamelements assets expand creator ecosystem,,,,,,
2026-08-04,2026-07-21,2026-08-03,high_score_game_announcement,game_announcements,,,2026-08-03,98,game_lifecycle; platform_store; market_keyword,RPG Site,major_gaming_media,Major gaming media,GLOBAL,Suikoden Star Leap launches on August 7 for iOS and Android in Japan,,https://www.rpgsite.net/news/21031-suikoden-star-leap-release-date-ios-android-japan,2026-08-03T07:39:00+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Game Announcement review candidate: hot_score >= 70; inside report period. Human approval required.,suikoden star leap launches august android japan,,,,,,
2026-08-04,2026-07-21,2026-08-03,high_score_game_announcement,game_announcements,,,2026-08-02,90,game_lifecycle; platform_store; market_keyword,GamingonPhone,major_gaming_media,Major gaming media,GLOBAL,Tencent’s Ausstar Heatwave kicks off Shareholder Test on August 14 for Android and iOS in China; iOS pre-orders also now live,,https://gamingonphone.com/news/tencents-ausstar-heatwave-kicks-off-shareholder-test-on-august-14-for-android-and-ios-in-china-ios-pre-orders-also-now-live/,2026-08-02T07:00:00+00:00,2026-08-03T05:48:34.158886+00:00,2026-08-03T05:48:34.158886+00:00,2026-08-05T04:08:31.878853+00:00,Game Announcement review candidate: hot_score >= 70; inside report period. Human approval required.,tencent ausstar heatwave kicks shareholder test august android,,,,,,
