registry_game_id,original_title,english_title,normalized_original_title,normalized_english_title,first_seen_meeting_date,first_seen_report_period,first_seen_platform_classification,first_seen_brief_href,mobile_app_ids,steam_app_ids,known_platforms,publisher,developer,notes
game-1bb43f2c3c69,Star Sailors,Star Sailors,star sailors,star sailors,2026-07-07,2026-06-23 to 2026-07-06,mobile_only,proof-runs/2026-07-07/latest-brief.html,68d0aef41991c90375634e55,,"Android, iOS",Com2uS Holdings,Panana Studio,
game-348031926a98,CookieRun Classic,CookieRun Classic,cookierun classic,cookierun classic,2026-07-07,2026-06-23 to 2026-07-06,mobile_only,proof-runs/2026-07-07/latest-brief.html,6a20d5602eeaf2cd07fde940,,"Android, iOS","Devsisters, Devsisters Corporation",Devsisters Corporation,
game-5f334afd3d0b,練氣3000層：墮落女帝逼我飛升,Qi Refining 3000 Levels: The Fallen Empress Forces Me to Ascend,練氣3000層 墮落女帝逼我飛升,qi refining 3000 levels the fallen empress forces me to ascend,2026-07-07,2026-06-23 to 2026-07-06,mobile_only,proof-runs/2026-07-07/latest-brief.html,6a2241e0d8038479028cf46e,,"Android, iOS",Eskyfun Entertainment,Eskyfun Entertainment,
game-24ccd0b296c6,從前有條街,"Once upon a time, there was a street",從前有條街,once upon a time there was a street,2026-07-07,2026-06-23 to 2026-07-06,mobile_only,proof-runs/2026-07-07/latest-brief.html,6a315b3f3dec4f4c302c9e9f,,"Android, iOS","THANH AN SON DONG, THANH AN SON DONG COMPANY LIMITED",THANH AN SON DONG COMPANY LIMITED,
game-f0b5aca8cd4f,Skyria: Cloud Fantasia,Section: Cloud Fantasia,skyria cloud fantasia,section cloud fantasia,2026-07-07,2026-06-23 to 2026-07-06,mobile_only,proof-runs/2026-07-07/latest-brief.html,6969d044e899159b77c06376,,"Android, iOS",Shiyue Network,Shiyue Network,
game-18c6ff5bafcc,RO仙境傳説：世界之旅,Ragnarok: The New World,ro仙境傳説 世界之旅,ragnarok the new world,2026-07-21,2026-07-07 to 2026-07-20,mobile_only,proof-runs/2026-07-21/latest-brief.html,6754275005;69d6fbd46d2ddf69b00afe63;com.ggv.roworldsea.aos,4212480,"Android, Steam, iOS","GRAVITY, GRAVITY; Gravity Game Vision, Gravity Game Vision",Gravity Game Vision,
game-8e7200a833c3,DIGIMON UP,DIGIMON UP,digimon up,digimon up,2026-07-21,2026-07-07 to 2026-07-20,mobile_only,proof-runs/2026-07-21/latest-brief.html,69f41e9ef1c1bcb77377ddf3,,"Android, iOS","Bandai Namco Entertainment, Bandai Namco Entertainment Inc.",Bandai Namco Entertainment Inc.,
game-e09b0953c415,MS: Freedom Horizon,MS: Freedom Horizon,ms freedom horizon,ms freedom horizon,2026-07-21,2026-07-07 to 2026-07-20,mobile_only,proof-runs/2026-07-21/latest-brief.html,6a262a7a7f645bd5867290ce,,"Android, iOS","EAST SEA ENERGY ENVIRONMENT, EAST SEA ENERGY ENVIRONMENT COMPANY LIMITED",EAST SEA ENERGY ENVIRONMENT COMPANY LIMITED,
game-0f4d51b1b11b,聖杯神諭,Oracle of the Holy Grail,聖杯神諭,oracle of the holy grail,2026-07-21,2026-07-07 to 2026-07-20,mobile_only,proof-runs/2026-07-21/latest-brief.html,6a3a0c9020fa662d5633ef13,,"Android, iOS",Guangzhou Wansheng Technology,Guangzhou Wansheng Technology,
game-c2fd07c5e753,The Walking Dead: Aftermath,The Walking Dead: Aftermath,the walking dead aftermath,the walking dead aftermath,2026-07-21,2026-07-07 to 2026-07-20,mobile_only,proof-runs/2026-07-21/latest-brief.html,68e9d0c137b4c6ee642126ca,,"Android, iOS",Ares Interactive,Swift Games,
