original_title,unified_id,detected_language_code,english_display_title
Honor of Kings,642b4a61ad4adb7799a83a83,en,Honor of Kings
Last War:Survival,64075e77537c41636a8e1c58,en,Last War:Survival
Whiteout Survival,638ee532480da915a62f0b34,en,Whiteout Survival
Royal Match,5f16a8019f7b275235017614,en,Royal Match
MONOPOLY GO!,62be6a5fbab10c69c5a0a42a,en,MONOPOLY GO!
Gossip Harbor: Merge & Story,62997510bafac62d04f854a3,en,Gossip Harbor: Merge & Story
Candy Crush Saga,55c5028802ac64f9c0001faf,en,Candy Crush Saga
Kingshot,67bb93ed47b43a18952ffdfc,en,Kingshot
Coin Master,56e35cf19429946c4e0bac66,en,Coin Master
和平精英,65c10196ad4adb117910c1d4,zh,Peace Elite
Garena Free Fire,59d296dd60104c08ce201a27,en,Garena Free Fire
Pokémon GO,577c9fa40211a6cf30000056,en,Pokémon GO
Roblox,55d3a1a802ac64350a000d6e,en,Roblox
Delta Force,66b1f458d72cf61108f8c2c6,fi,Delta Force
Township,55c50ce502ac64f9c0002364,en,Township
eFootball,5852de110211a67ee4000313,en,eFootball
Gardenscapes,582219400211a6c9240005fc,en,Gardenscapes
Last Z: Survival Shooter,658ea0be1fc48c4dbb3065e6,en,Last Z: Survival Shooter
PUBG MOBILE,5aad42d99f479f0a74d40440,en,PUBG MOBILE
Brawl Stars,594278840211a6e5560000b2,en,Brawl Stars
Royal Kingdom,68522fdeea1d299c74cd6921,en,Royal Kingdom
Genshin Impact,5f3b76921392d052ebf0d0ca,ru,Genshin Impact
Toon Blast,587b3b7d0211a6285800103d,en,Toon Blast
Homescapes: Match 3 Games,597a55930211a69d0f000000,en,Homescapes: Match 3 Games
Call of Duty®: Mobile,5d0355893ea9832c13e157d2,en,Call of Duty®: Mobile
TFT: Teamfight Tactics,5da67c09a546ab1edeb6c50d,en,TFT: Teamfight Tactics
메이플 키우기,682454ee68ddec7bed2f6480,ko,MapleStory leveling
Clash of Clans,55c5025102ac64f9c0001f96,en,Clash of Clans
