report_name,release_date_used,release_date_scope,release_date_source_url,official_site_url,store_url,developer,publisher,genre,platforms_confirmed,mobile_pc_relationship,summary_sentence_1,summary_sentence_2,source_urls,enrichment_status,enrichment_notes
"Surviving for 33 days",2026-01-01,Sensor Tower reference,https://survive33days.37.com.cn/article,https://survive33days.37.com.cn/article,https://survive33days.37.com.cn/article,Dawnlight Studio,37 Interactive Entertainment,"Post-apocalyptic idle card RPG","iOS, Android","mobile only in report layer","Surviving for 33 Days is a post-apocalyptic idle card RPG in which players assemble heroes, arrange a squad, and hold back zombie hordes.","Its differentiator is a lightweight survival loop that combines idle progression with strategic line-up building and high-volume combat.",https://survive33days.37.com.cn/article,research_confirmed,"Official 37 page confirms the title, studio, publisher family, mobile positioning, and gameplay loop."
"Fierce Ghosts: Three Kingdoms",2026-07-22,Sensor Tower reference,https://play.google.com/store/apps/details?id=com.kfive.gptw,unconfirmed,https://play.google.com/store/apps/details?id=com.kfive.gptw,Sumlahung,Sumlahung,"Three Kingdoms card RPG",Android,"mobile only in report layer","Fierce Ghosts: Three Kingdoms turns the Three Kingdoms setting into a supernatural card RPG where players command ghost versions of historic generals.","The core appeal is squad collection and tactical team-building across a three-sided conflict between humans, spirits, and ghosts.",https://play.google.com/store/apps/details?id=com.kfive.gptw,research_confirmed,"Google Play confirms developer, store availability, and the game description. No primary iOS listing was confirmed."
"JoJo's Bizarre Adventure: GS",2026-08-13,Sensor Tower reference,https://play.google.com/store/apps/details?id=com.wanda.jojo.gp.global,unconfirmed,https://play.google.com/store/apps/details?id=com.wanda.jojo.gp.global,Hoolai Game Limited,Hoolai Game Limited,"Licensed 3D mobile RPG","iOS, Android","mobile only in report layer","JoJo's Bizarre Adventure: GS is an officially licensed mobile RPG based on the JoJo anime, with characters drawn from across the franchise.","It combines team formation and strategic battles with 3D and Live2D presentation designed to recreate iconic anime scenes.",https://play.google.com/store/apps/details?id=com.wanda.jojo.gp.global | https://jojo-news.com/2026/08/13/jojos-bizarre-adventure-golden-spirit-mobile-game-officially-launched-on-august-13/,research_confirmed,"Google Play confirms Hoolai Game Limited; launch coverage confirms 13 August mobile launch and iOS/Android availability."
"Undead Tribe: Battle",2026-08-03,Sensor Tower reference,https://apps.apple.com/tw/app/%E4%BA%A1%E9%9D%88%E5%88%A5%E5%A4%AA%E7%8B%82-%E9%83%A8%E8%90%BD%E5%A4%A7%E4%BD%9C%E6%88%B0/id6762179843,unconfirmed,https://apps.apple.com/tw/app/%E4%BA%A1%E9%9D%88%E5%88%A5%E5%A4%AA%E7%8B%82-%E9%83%A8%E8%90%BD%E5%A4%A7%E4%BD%9C%E6%88%B0/id6762179843,Emin Lomturide,Emin Lomturide,"Tower-defense RPG",iOS,"mobile only in report layer","Undead Tribe: Battle is a short-session tower-defense RPG where players summon and merge heroes to protect a tribe from waves of undead.","Its USP is a quick three-minute match loop that mixes random hero merges, faction combinations, and defensive strategy.",https://apps.apple.com/tw/app/%E4%BA%A1%E9%9D%88%E5%88%A5%E5%A4%AA%E7%8B%82-%E9%83%A8%E8%90%BD%E5%A4%A7%E4%BD%9C%E6%88%B0/id6762179843,research_confirmed,"App Store confirms title, developer, iPhone/iPad availability, and described gameplay."
"EZ PZ: Byte Heroes",2026-06-15,Sensor Tower reference,https://play.google.com/store/apps/details?id=com.szqdgames.android.arzhg,unconfirmed,https://play.google.com/store/apps/details?id=com.szqdgames.android.arzhg,Shenzhen Qudong Digital Entertainment Co. Ltd.,Shenzhen Qudong Digital Entertainment Co. Ltd.,"Pixel-art strategy card RPG",Android,"mobile only in report layer","EZ PZ: Byte Heroes is a pixel-art Three Kingdoms strategy card RPG built around a six-grid formation system and faction-based hero combinations.","It blends tactical team positioning with idle progression and high-frequency loot drops, including shared equipment that can strengthen an entire squad.",https://play.google.com/store/apps/details?id=com.szqdgames.android.arzhg,research_confirmed,"Google Play confirms developer, Android availability, and game systems."
"MAJO - Apocalypse Tactics RPG",2026-08-11,Sensor Tower reference,https://majo-official.com/en/,https://majo-official.com/en/,https://play.google.com/store/apps/details?id=com.darkwind.majo,DarkWind Ltd.,DarkWind Ltd.,"Tactical squad RPG","iOS, Android","mobile only in report layer","MAJO - Apocalypse Tactics RPG is a dark tactical RPG in which the player commands witches to investigate and defeat reality-distorting anomalies.","Its combat differentiates itself through timed dodges, blocks, knockdowns, burst attacks, and four squad roles that create team synergies.",https://majo-official.com/en/ | https://play.google.com/store/apps/details?id=com.darkwind.majo,research_confirmed,"Official site and Google Play confirm the publisher/developer, mobile availability, premise, and tactical systems."
"Fields of Mistria",2026-08-05,Steam,https://store.steampowered.com/app/2142790/,https://www.fieldsofmistria.com/,https://store.steampowered.com/app/2142790/,NPC Studio,NPC Studio,"Farming and life-simulation RPG",PC,"PC-only report-facing game","Fields of Mistria is a pixel-art farming and life-simulation RPG where players rebuild a village, farm, fish, mine, craft, and explore magical ruins.","Its USP is the blend of cosy town life, romance, seasonal activities, and light adventure in a nostalgic farm-sim format.",https://store.steampowered.com/app/2142790/,research_confirmed,"Steam confirms developer, publisher, genre, PC platform, release date, and game description."
"Survival Log",2026-08-12,Steam,https://store.steampowered.com/app/4164790/,unconfirmed,https://store.steampowered.com/app/4164790/,Midnight Workshop,Lilith Games,"Zombie survival and resource-management simulation",PC,"PC-only report-facing game","Survival Log is a zombie-apocalypse survival simulation where players scavenge before an outbreak, then manage and fortify a home base.","It combines timed preparation, resource management, base-building, exploration, and repeat-run progression where failed attempts create experience for the next run.",https://store.steampowered.com/app/4164790/,research_confirmed,"Steam confirms Midnight Workshop, Lilith Games, PC release date, and survival-management loop."
Sandustry,2026-08-13,Steam,https://store.steampowered.com/app/2764460/,unconfirmed,https://store.steampowered.com/app/2764460/,Lantto Games,Hooded Horse,"Factory automation simulation",PC,"PC-only report-facing game","Sandustry is a factory automation game set on fully destructible worlds where every pixel can be mined, processed, or used in production chains.","Its USP is a physics-led resource system: materials such as sand, water, ice, and steam react to one another as players build an expanding industrial operation.",https://store.steampowered.com/app/2764460/,research_confirmed,"Steam confirms developer, publisher, Early Access release date, PC platform, and systems."
"Path of Idle: Old Gods Rising",2026-08-12,Steam,https://store.steampowered.com/app/4243990/,unconfirmed,https://store.steampowered.com/app/4243990/,Small Mill,Small Mill,"Lovecraftian idle RPG",PC,"PC-only report-facing game","Path of Idle: Old Gods Rising is a Lovecraftian idle RPG where players build a cult town, equip a party, and send Godsworn characters into automated battles.","It is designed around low-input progression, loot and gear crafting, six classes, town building, and strategy around party composition.",https://store.steampowered.com/app/4243990/,research_confirmed,"Steam confirms Small Mill as developer/publisher, PC release date, genre, and gameplay systems."
