unified_id,unified_name,english_report_name,translation_source,translation_note
6a5c61ace8e4606a8d3b26a9,猛鬼三國,Fierce Ghosts: Three Kingdoms,editorial_translation,Literal English display translation; keep the original title beside it.
6a68be982148e385d37ce73e,亡靈別太狂：部落大作戰,Undead Tribe: Battle,editorial_translation,Concise English display translation; keep the original title beside it.
6a6982bdd8117e5d000ee3fc,爆走摸魚君,Rampaging Idle Fisher,editorial_translation,English display translation only; retain original title.
6a7060b78585352992864018,神獸激戰,Mythic Beast Clash,editorial_translation,English display translation only; retain original title.
6a1e3c014295fe77f2ff0990,勇闖魔王城,Storming the Demon King's Castle,editorial_translation,English display translation only; retain original title.
6a62137218bc98fc9fbe11ce,錢途無量,Boundless Fortune,editorial_translation,English display translation only; retain original title.
6a54f0a6bf6992af0b0927fc,森之歌：世界,Song of the Forest: World,editorial_translation,English display translation only; retain original title.
637061a9ab5086669cf066e6,精靈進化之路,Path of Sprite Evolution,editorial_translation,English display translation only; retain original title.
6a421fca29536db92d82a5f7,我在江湖開後宮,Building a Harem in Jianghu,codex_auto,Auto-translated for report display.
6a4bc5ba977abbfea24c5827,天命：六道輪迴,Destiny: Six Realms of Reincarnation,codex_auto,Auto-translated for report display.
6a3891a397443c9ffde3801d,箭神請息怒,"Archer God, Please Calm Down",codex_auto,Auto-translated for report display.
614d3fe91800972195fffae8,怪物之家,Monster House,codex_auto,Auto-translated for report display.
